Padalinio pavadinimas ,"Kategorija, kodas, taisyklių punktas",Pirkimo Nr.,"Sutarties Nr., PVM sąskaitos Nr.",Suma,"Prekių, paslaugų, darbų pavadinimas",Tiekėjai
E. miesto departamentas,5 paslaugų kategorija BVPŽ kodas 64200000-8,254-3,"2012-10-16 sutartis Nr. A64-159 (3.10.22-FN4) UAB ""Bitė Lietuva""",6000,"Trumpo numerio paslauga. Įeinantys skambučiai trumpuoju numeriu 1664 iš UAB ""Bitė"" tinklo nukreipti į numerį (8 5) 211 2000","UAB ""Bitė Lietuva"""
E. miesto departamentas,5 paslaugų kategorija BVPŽ kodas 64200000-8,254-4,"2012-10-16 sutartis Nr. A64-160 (3.10.22-FN4) AB ""TEO LT""",2501.4,Trumpo numerio paslauga. Įeinantys skambučiai trumpuoju numeriu 1664 iš TEO LT AB tinklo nukreipti į numerį (8 5) 211 2000,"AB ""TEO LT"""
Antakalnio seniūnija,BVPŽ kodas 45442100-8,255,"2012-10-03 sutartis Nr. A62-127 (3.10.21-FN4) UAB ""Naujininkų ūkis""",3100.02,Patalpų remonto darbai Karočiūnų g. 19,"UAB ""StatVilsta"", UAB ""Naujininkų ūkis"", UAB ""Tavastis"""
Fabijoniškių seniūnija,BVPŽ kodas 45262700-8,256,"2012-10-09 sutartis Nr. A62-138 (3.10.21-FN4) UAB ""Kernavės būstas""",19865.22,Fabijoniškių bendruomenės patalpų remontas,"UAB ""AJG Transport"", UAB ""Kernavės būstas"", UAB ""VS Grupė"""
Fabijoniškių seniūnija,BVPŽ kodas 45236119-7,257,"2012-09-27 sutartis Nr. A62-121 (3.10.21-FN4) UAB ""Srėdė"" ir Ko",14000.06,Žaidimo aikštelių remontas,"UAB ""Portalas"", UAB ""Sigvalda"", UAB ""Srėdė ir ko"""
Fabijoniškių seniūnija,BVPŽ kodas 45236290-9,258,"2012-10-9 sutartis Nr. A62-137 (3.10.21-FN4) UAB ""AJG Transport""",8365,Gyvūnų vedžiojimo aikštelės įrengimas,"UAB ""AJG Transport"", UAB ""Kernavės būstas"", UAB ""VS Grupė"""
Fabijoniškių seniūnija,BVPŽ kodas 45236290-9,259,"2012-10-09 sutartis Nr. A62-136 (3.10.21-FN4) UAB ""AJG Transport""","19,527.00",Estrados ir suoliukų įrengimas,"UAB ""AJG Transport"", UAB ""Kernavės būstas"", UAB ""VS Grupė"""
Pilaitės seniūnija,BVPŽ kodas 45421000-4,260,"2012-10-03 sutartis Nr. A62-129 (3.10.21-FN4) UAB ""Kestleta""",2200,Rinkimų apylinkių paruošimas,"UAB ""Naujoji pilaitė"", UAB ""Kestleta"", UAB ""Medlain"""
Fabijoniškių seniūnija,BVPŽ kodas 45421000-4,261,"2012-09-18 sutartis Nr. A62-104 (3.10.21-FN4) UAB ""Srėdė""",4053.5,Rikiminių apylinkių įrengimas,"UAB ""Portalas"", UAB ""Fabeta"", UAB ""Srėdė"" ir Ko"
Šeškinės seniūnija,BVPŽ kodas 45233200-1,262,"2012-09-25 sutartis Nr. A62-117 (3.10.21-FN4) UAB ""Šilėja""",10000,Pėsčiųjų tako remontas,"UAB ""Šilėja"", UAB ""Verslo transformacija"", UAB ""Restovė"" ir Ko"
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,263,"2012-08-23 PVM sąskaita faktūra Nr. E2010M 2010 UAB ""Ekspertų mugė""",363,Viešieji pirkimai: aktualūs praktiniai klausimai,"UAB ""Ekspertų mugė"""
Pašilaičių seniūnija,BVPŽ kodas 45420000-7,264,"2012-10-04 sutartis Nr. A62-131 (3.10.21-FN4) UAB ""Mano būstas LT""",2800,6 rinkimų apylinkių Pašilaičių seniūnijos teritorijoje įrengimas 2012 m. Seimo rinkimams,"UAB ""Corpus A"", UAB ""Mano būstas LT"", UAB ""Algrimitas"""
Aprūpinimo ir transporto skyrius,BVPŽ kodas 39000000-2,265,"2012-09-20 sutartis Nr. A68-25 (3.10.23-FN4) UAB ""Vildika""",3832.02,Dokumentų spintos,"UAB ""Vildeta"", UAB ""Vildika"", UAB ""Vietinis"""
Pilaitės seniūnija,BVPŽ kodas 45314000-1,266,"2012-10-16 sutartis Nr. A62-142 (3.10.21-FN4) UAB ""Saugos garantas""",19954.11,Pilaitės vidurinės mokyklos išorinės apsaugos inžinerinės infrastruktūros išvystymas,"J. Sruogiaus GKI ""Sireta"", UAB ""Baltų tinklas"", UAB ""Saugos garantas"""
Naujosios vilnios seniūnija,1 paslaugų kategorija BVPŽ kodas 50700000-2,267,"2012-10-03 sutartis Nr. A64-150 (3.10.22-FN4) UAB ""Priemiestis""",2952.4,Naujosios Vilnios seniunijos naodojamų patalpų administravimo paslaugų pirkimas,"UAB ""Priemiestis"""
Saugaus miesto departamentas,BVPŽ kodas 38651000-3,268,Pasiūlymas atmestas,,Fotoaparatai,
Personalo departamentas,24 palaugų kategorija BVPŽ kodas 80522000-9,269,,700,Managing in Uncertainity in Organisations and Communities: Roles and Risks,
Miesto ūkio ir transporto departamentas,BVPŽ kodas 45316110-9,270-1,"2012-11-30 sutartis Nr. A62-160 (3.10.21-UK) UAB ""Vilniaus gatvių apšvietimo ekeltros tinklai""",186376.3,"Kelmijos Sodų 1-osios g., Kelmijos Sodų 11-osios g., Kelmijos Sodų 15-osios g., apšvietimo tinklai","UAB ""Vilniaus gatvių apšvietimo elektros tinklai"", UAB ""MEP systems"", UAB ""Neiluva"", UAB ""a.Cons"""
Miesto ūkio ir transporto departamentas,BVPŽ kodas 45316110-9,270,"2012-11-29 sutartis Nr. A62-158 (3.10.21-UK) K. Bilevičiaus IĮ ""Bekma""",54562.54,"Tarandės gyv. namų kvartalo Dagiliškių, Pikutiškių, Masionių, Raisteniškių, Žalės, Baluosių, Tekliūnų, Žirgupės, Kamarausko gatvių apšvietimas","UAB ""Vilniaus gatvių apšvietimo elektros tinklai"", K. Bilevičiaus IĮ ""Bekma"""
Miesto ūkio ir transporto departamentas,BVPŽ kodas 45316110-9,270-1,Bendruomenė atsisakė pasirašyti sutartį,,Untulių gatvės apšvietimas,"UAB ""Vilniaus gatvių apšvietimo elektros tinklai"", UAB ""MEP systems"", UAB ""Neiluva"", "
Miesto ūkio ir transporto departamentas,BVPŽ kodas 45316110-9,270,"2012-11-15 sutartis Nr. A62-153 (3.10.21-UK) UAB ""Elmova""",144614.27,Susisiekimo komunikacijos ir kvartaliniai elektros tinklai Strelčiukų g. tarp 23 ir 31,"UAB ""Elmova"""
Miesto ūkio ir transporto departamentas,BVPŽ kodas 45316110-9,270,NEVYKDĖ,,"Visorių Sodų 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14 g. apšvietimas",
Miesto ūkio ir transporto departamentas,BVPŽ kodas 45316110-9,270,NEVYKDĖ,,Grūšiakalnio g. apšvietimas,
Miesto ūkio ir transporto departamentas,BVPŽ kodas 45316110-9,270-2   ,"2012-11-30 sutartis Nr. A62-161 (3.10.21-UK) UAB ""Vilniaus gatvių apšvietimo elektros tinklai""",15815,Paeglinės Sodų g. 1-osios ir Paeglinės Sodų 2-osios gatvių apšvietimas,"UAB ""Vilniaus gatvių apšvietimo elektros tinklai"", UAB ""Elmova"""
Miesto ūkio ir transporto departamentas,BVPŽ kodas 45316110-9,270,NEVYKDĖ,,"Kalnėnų, Gurių Sodų, Gurių Sodų 10-osios, Gurių Sodų 11-osios, Gurių Sodų 12-osios ir Gurių Sodų 14-osios g. apšvietimas",
Vaiko teisių apsaugos skyrius,BVPŽ kodas 22110000-4,271,"2012-09-25 PVM sąskaita faktūra Nr. PP-0012923 UAB ""Patogu pirkti""",415.74,Spausdintos knygos,"UAB ""Vagos prekyba"", VGTU leidykla ""Technika"", UAB ""Patogu pirkti"""
Miesto ūkio ir transporto departamentas,BVPŽ kodas 45453100-8,272,"2012-11-21 sutartis Nr. A62-157 (3.10.21-UK) UAB ""BSS grupė""",64900,Viešojo kanalizuoto tualeto V. Kudirkos a. remontas,"UAB ""Verslo bitė"", UAB ""Atsakingi sprendimai"", UAB ""BSS grupė"""
Karoliniškių seniūnija,BVPŽ kodas 39224340-3,273,"2012-10-11 sutartis Nr. A68-29 (3.10.23-FN4) UAB ""Patikimas turtas""",8034.74,Įrenginiai vaikų žaidimo ir sporto aikštelei,"UAB ""Patikimas turtas"", UAB ""AN RANGA"", UAB ""Kitoks požiūris"", UAB ""Sveikata tau"", UAB ""Kraštovaizdžio specialistų biuras"""
Karoliniškių seniūnija,BVPŽ kodas 45236119-7,274,"2012-11-02 sutartis Nr. A62-147 (3.10.21-FN4) UAB ""Sveikata tau""",10000,Sporto ir žaidimų aikštelių atnaujinimo darbai,"UAB ""Patikimas turtas"", UAB ""Sveikata tau"", UAB ""Atletas"", UAB ""Rafranka"""
Personalo departamentas,14 paslaugų kategorija BVPŽ kodas 60100000-9,275,"2012-11-06 sutartis Nr. A64-168 (3.10.22-FN4) UAB ""Kenkėjų kontrolės tarnyba""",1500,Archyvo pastato V. A. Graičiūno g. 20 deratizacijos paslaugos,"UAB ""Kenkėjų kontrolės tarnyba"", UAB ""Kauno profilaktinės dezinfekcijos stotis"", UAB ""Profilaktinė dezinfekcija"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,276,"2012-09-13 PVM sąskaita faktūra Nr. EKT 0001703 UAB ""Ekonominės konsultacijos ir tyrimai""",2904,Pasiruošimas Visagino atominės elektrinės (VAE) statybai,"UAB ""Ekonominės konsultacijos ir tyrimai"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,277,"2012-09-13 PVM sąskaita faktūra Nr. AAJ23947 UAB ""Auditorių aljansas""",260,"Turto nuvertėjimo, biologinio turto apskaitos, turto ir įsipareigojimų inventorizacijos atlikimo ypatumai pagal VSAFAS","UAB ""Auditorių aljansas"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,278,"2012-09-25 PVM sąskaita-faktūra Nr. MSI 029107 UAB ""Mokesčių srautas""",735.68,Sveikatos priežiūros įstaigų ir gydytojų atsakomybės teisiniai aspektai,"UAB ""Mokesčių srautas"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,279,"NEĮVYKO, gautas tarnybinis pranešimas",,Viešojo sektoriaus efektyvumas,
Miesto ūkio ir transporto departamentas,BVPŽ kodas 48000000-8,280,"2012-10-22 sutartis Nr. A68-31 (3.10.23-UK) UAB ""Sistela""",2500,Dviejų darbo vietų informacinio programinio komplekso SĄMATA programinės įrangos įsigijimas,"UAB ""Sistela"""
Personalo departamentas,BVPŽ kodas 80522000-9,281,"2012-09-27 PVM sąskaita faktūra Nr. SM004940 VšĮ ""Praktikai""",2340,Darbo teisė 2012,"VšĮ ""Praktikai"""
Vilkpėdės seniūnija,26 paslaugų kategorija BVPŽ kodas 92300000-4,282,2012-10-10 sutartis Nr. A64-154 (3.10.22-FN4) VšĮ Vilkpėdės bendruomenės socialinių paslaugų centras,2696,"""Baltosios lazdelės"" renginio organizavimas","VšĮ Vilniaus ir Alytaus regionų aklųjų centras, VšĮ Vilkpėdės bendruomenės socialinių paslaugų centras"
Pilaitės seniūnija,BVPŽ kodas 454210004,283,"2012-11-09 sutartis Nr. A62-149 (3.10.21-FN4) UAB ""Aiža""",15799.97,Gilužio ežero pliažo infrastruktūros įrengimas,"UAB ""Midogė"", UAB ""Julsata"", UAB ""AIŽA"""
Karoliniškių seniūnija,27 paslaugų kategorija BVPŽ kodas 79952000-2,284,"2012-10-26 sutartis Nr. A64-165 (3.10.22-FN4) VšĮ ""Lilibra""",920,Renginio pagyvenusiems žmonėms techninis aprūpinimas,"VšĮ ""Diskomas"", VšĮ ""BEEPART"", Grigiškių kultūros centras, Karoliniškių bendruomenį, VšĮ ""Lilibra"""
Karoliniškių seniūnija,26 paslaugų kategorija BVPŽ kodas 92300000-4,285,"2012-11-09 sutartis Nr. A64-170 (3.10.22-FN4) VšĮ ""Lilibra""",5750,Bendruomenės Kalėdinio-Naujametinio renginio organizavimas,"VšĮ ""Diskontas"", VšĮ ""Beepart"", VšĮ ""Ketvirtoji versija"", Karoliniškių bendruomenė, VšĮ ""Lilibra"""
Civilinės saugos skyrius,1 paslaugų kategorija BVPŽ kodas 50413200-5,286,"2012-11-20 PVM sąskaita faktūra Nr. DEF 0001805 UAB ""DEFORUS""",133.1,Gesintuvų Bavarija 6G-I patikra Civilinės saugos skyriuje Gedimino per. 34 ir valstybės rezervo sandėliuose Nemenčinės kaime II.,"UAB ""DeForus"", UAB ""Geslita"", UAB ""Koncepcija"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,287,"2012-10-10 sutartis Nr. A64-153 (3.10.22-FN4) UAB ""Kalba.lt""",2475,Individualūs anglų kalbos mokymai,"UAB ""Kalba.lt"""
Civilinės saugos skyrius,BVPŽ kodas 03413000-8,288,"2012-10-09 PVM sąskaita faktūra Nr. MAL0208 UAB ""Malkinė""",1331,Kurui skirtos medienos (10m3) sargų namelio šildymui valstybės rezervo sandėliuose Nemenčinėje.,"UAB ""Malkinė"", UAB ""Pinera"", IĮ ""Artūro malkos"""
Pilaitės seniūnija,BVPŽ kodas 45233292-2,289,"2012-10-30 sutartis Nr. A62-145 (3.10.21-FN4) UAB ""Stabulė""",19999.99,"Gatvių nuolaidų sankryžų zonose įrengimas, pritaikytas žmonėms su negalia ir kt. bendruomenės narių judėjimui palengvinti","UAB ""Grinda"", UAB ""Trajana"", UAB ""Vilniaus Zunda"", UAB ""Stebulė"""
Šnipiškių seniūnija,BVPŽ kodas 45421140-7,290,"2012-11-12 sutartis Nr. A62-150 (3.10.21-FN4) UAB ""Stebulė""",990,Dviračių stovų įrengimas,"UAB ""Stebulė"", UAB ""Metalo sprendimai"", UAB ""Grinda"""
Šnipiškių seniūnija,BVPŽ kodas 22120000-7,291,PAKEISTAS Į 367,,Leidinio apie Šnipiškes pirkimas,
Šnipiškių seniūnija,26 paslaugų kategorija BVPŽ kodas 92000000-1,292,"2012-12-11 sutartis Nr. A64-188 (3.10.22-FN4) Asociacija ""Šnipiškiečių namai""",3000,Kalėdų šventė Šnipiškėse,"Asociacija ""Šnipiškiečių namai"", VšĮ ""Vilties žingsniai"", Lietuvos Respublikos asociacija Lietuvos vietos bendruomenių organizacijų sąjunga"
Šnipiškių seniūnija,BVPŽ kodas 45453100-8,293,"2012-10-29 sutartis Nr. A62-144 (3.10.21-FN4) UAB ""Ridmė""",3495,Bendruomenės pagalbinių patalpų remontas,"UAB ""Rudmė"", UAB ""Tavo aplinkos vizija"", UAB ""Master beton"""
Miesto plėtros departamentas,12 paslaugų kategorija BVPŽ 71410000-5,294,"2012-12-12 sutartis Nr. A64-190 (3.10.22-MP) VĮ ""Valstybės žemės fondas""",70240,"Papildomos paslaugos dėl Vakarinio aplinkkelio, atsiradusios rengiant techninį projektą",VĮ Valstybės žemės fonas
Pašilaičių seniūnija,26 paslaugų kategorija BVPŽ kodas 92300000-4,295,"2012-11-11 sutartis Nr. A64-185 (3.10.22-FN4) UAB ""Vėjų fėja""",3999,Kalėdinės šventės Pašilaičių remtiniems vaikams organizavimas,"UAB ""Vėjų fėja"", VšĮ ""Herkulis"", UAB ""Medusa Concert"""
Pašilaičių seniūnija,26 paslaugų kategorija BVPŽ kodas 92300000-4,296,"2012-12-11 sutartis Nr. A64-186 (3.10.22-FN4) VšĮ ""Herkulis""",5000,Pašilaičių bendruomenės Kalėdų šventė,"UAB ""Vėjų fėja"", VšĮ ""Herkulis"", UAB ""Medusa Concert"""
Pilaitės seniūnija,26 paslaugų kategorija BVPŽ kodas 92300000-4,297,"2012-12-12 sutartis Nr. A64-192 (3.10.22-FN4) UAB ""Kestleta""",8500,Kalėdų renginio organizavimas,"VšĮ ""Vilkpėdės benduomenės socialinių paslaugų centras"", UAB ""Kestleta"", VšĮ ""Lilibra"""
Justiniškių seniūnija,11 paslaugų kategorija BVPŽ kodas79421200-3,298,"2012-11-15 PVM sąskaita faktūra Nr. AP000175 UAB ""Arūno Paslaičio projektavimo biuras""",5687,Justiniškių seniūnijos šildymo ir apskaitos sistemų atskyrimo projektui parengti,"UAB ""Arūno Paslaičio projektavimo biuras"", UAB ""Archisetus"", IĮ Plyčiuraičio Plyčiaus architektūrinė firma"""
Karoliniškių seniūnija,27 paslaugų kategorija BVPŽ kodas 79952100-3,299,2012-11-29 sutartis Nr. A64-175 (3.10.22-FN4) Karoliniškių bendruomenė,6490,Tradicinio renginio skirto Suomijos Nepriklausomybės dienai organizavimas,"VšĮ ""Diskomas"", VšĮ ""BEEPART"", Grigiškių kultūros centras, Karoliniškių bendruomenį, VšĮ ""Lilibra"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,300,"2012-10-19 PVM sąskaita faktūra Nr. IC 12-95 UAB ""Intelligent Creation""",4300,Projektų kontrolės aspektai,"UAB ""Intelligent Creation"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,301,"2012-10-17 PVM sąskaita faktūra Nr. IC 12-93 UAB ""Intelligent Creation""",4300,Projektų valdymo principai,"UAB ""Intelligent Creation"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,302,"2012-10-18 PVM sąskaita faktūra Nr. IC-12-94 UAB ""Intelligent Creation""",4300,|Projektų planavimo aspektai,"UAB ""Intelligent Creation"""
Saugaus miesto departamentas,BVPŽ kodas 18235400-9,303,"2012-11-16 sutartis Nr. A68-35 (3.10.23-SM) UAB ""Valrima""",8924.84,Liemenės,"UAB ""Valrima"", UAB ""Baltijos arsenalas"", L. Lukoševičienės IĮ, UAB ""TUMA"", UAB ""Oksalis"", UAB ""Saugima"", UAB ""Vilniaus ginklai"", UAB ""Jagtekas"""
Saugaus miesto departamentas,BVPŽ kodas 18424000-7,304,"2012-11-16 sutartis Nr. A68-34 (3.10.23-SM) UAB ""Oksalis""","9,840.00",Specialios pirštinės,"UAB ""Valrima"", UAB ""Baltijos arsenalas"", L. Lukoševičienės IĮ, UAB ""TUMA"", UAB ""Oksalis"", UAB ""Saugima"", UAB ""Vilniaus ginklai"", UAB ""Jagtekas"""
Verkių seniūnija,BVPŽ kodas 45236110-4,305,"2012-10-31 sutartis Nr. A62-146 (3.10.21-FN4) UAB ""Kerista""","16,936.37",Dangų įrengimas prie sporto įrenginių,"UAB ""Kerista"", UAB ""Grinda"", UAB ""Fegda"""
Vilkpėdės seniūnija,BVPŽ kodas 22120000-7,306,"2012-10-29 PVM sąskaita faktūra Nr. SS 00398 VšĮ ""Sorre""","9,096.00","Leidinys ""Vilkpėdės istorija ir dabartis""","VšĮ ""Top session"", UAB ""Vaibra"", VšĮ ""Sorre"""
Šnipiškių seniūnija,BVPŽ kodas 45236290-9,307,"2012-10-05 sutartis Nr. A62-148 (3.10.21-FN4) UAB ""Stebulė""","2,722.50",Suoliukų remontas ir įrengimas,"UAB ""Stebulė"", UAB ""Grinda"", UAB ""Metalo sprendimai"""
Aprūpinimo ir transporto skyrius,BVPŽ kodas 44480000-8,308,"2013.01.08 sutartis Nr. A68-4 (3.10.23-FN4) UAB ""Virineta""","2,170.00",Gesinimo stoties impulsinės talpos pirkimas bei įrengimo darbai,"UAB ""Viarta"", UAB ""Lantana"", UAB ""Virineta"", UAB ""Gevirda"""
Aprūpinimo ir transporto skyrius,BVPŽ kodas 45421100-5,309,Neįvyko,,"12 langų varčių ir lauko durų iš Lvovo gatvės pusės remontas, keičiant jų detales","UAB ""Aluminium group"", UAB ""Lanreta"", UAB ""Megrame langai"", UAB ""ASF"", UAB ""Norvilangai"""
Miesto ūkio ir transporto departamentas,BVPŽ kodas 45316100-6,310,"2012-12-10 sutartis Nr. A62-168 (3.10.21-UK) UAB ""Švenčių studija""","56,900.00",Šventinis televizijos bokšto papuošimas Šv. Kalėdų ir Naujųjų metų švenčių proga,"UAB ""Švenčių studija"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,311,"2012-10-25 PVM sąskaita faktūra Nr. MCD 007705 VšĮ Valstybės ir savivaldybių tarnautojų mokymo centras ""Dainava""","1,975.00",Seminaras vaiko teisių apsaugos skyrių darbuotojams,"VšĮ Valstybės ir savivaldybių tarnautojų mokymo centras ""Dainava"""
Miesto ūkio ir transporto departamentas,BVPŽ kodas 45215400-1,312,"2012-11-20 sutartis Nr. A62-156 (3.10.21-UK) UAB ""Irdaiva""","38,695.96",Senųjų Rasų kapinių šiaurinės tvoros dalies remonto papildomi darbai,"UAB ""Irdaiva"""
Viešųjų ryšių skyrius,11 paslaugų kategorija BVPŽ kodas 79342000-3,313,2012-12-06 PVM sąskaita faktūra Nr. A007 Gerbert Doronin Koltan,"7,059.00",Rinkodaros konsultavimo paslaugos,"UAB ""Business source"", UAB ""Sprendimai"", Gerbert Doronin Koltan"
Viešųjų ryšių skyrius,10 paslaugų kategorija BVPŽ kodas 79311200-9,314,"2012-12-10 PVM sąskaita faktūra Nr. A 0019504 UAB ""Mediaskopas""","6,000.00",Žiniasklaidos tyrimų paslaugos,"UAB ""Le Terrier"", UAB ""Addvisors"", UAB ""Mediaskopas"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,315,"2012-10-11 PVM sąskaita faktūra Nr. AVA 201210-023 UAB ""Consultores""",605.00,Daugiabučių namų atnaujinimo/ modernizavimo darbų bei paslaugų pirkimai. Kaip išvengti klaidų? Praktiniai patarimai.,"UAB ""Consultores"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,316,"2012-11-19 PVM sąskaita faktūra Nr. ALK 12922 Asociacija ""lietuvos keliai""",2337.72,"Kvalifikacijos kėlimo kursai atestato gavimui, suteikiant teisę eiti ypatingo statinio bendrosios statinio statybos vadovo ir ypatingo statinio statybos techninės priežiūros vadovo pareigas statinių grupės: susisiekimo komunikacijos: keliai, keliai (gatvės) (3 asmenims)","Asociacija ""Lietuvos keliai"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,317,"2012-12-11 PVM s1skaita fakt8ra Nr. ALK 12936 Asociacija ""Lietuvos keliai""",779.24,"Kvalifikacijos kėlimo kursai atestato gavimui, suteikiant teisę eiti ypatingo statinio bendrosios statinio statybos vadovo ir ypatingo statinio statybos techninės priežiūros vadovo pareigas statinių grupės: susisiekimo komunikacijos: keliai, keliai (gatvės) (1 asmeniui)","Asociacija ""Lietuvos keliai"""
Verkių seniūnija,BVPŽ kodas 70332000-7,318,"2012-12-03 sutartis Nr. A64-177 (3.10.22-FN4) UAB ""Verkių būstas""","9,999.44","Verkių seniūnijos bendruomenės centro, Baltupio g. 37, patalpų administravimo, priežiūros ir eksploatavimo paslaugos","UAB ""Verkių būstas"""
Aprūpinimo ir transporto skyrius,BVPŽ kodas 32333100-7,319,"2012-12-21 sutartis Nr. A68-50 (3.10.23-FN4) UAB ""Faktora""","8,950.22",Dviejų specializuotų vaizdo įrašymo įrenginių pirkimas bei įrengimo darbai,"UAB ""Faktora"". UAB ""VitGre"", UAB ""Prologika"""
Šeškinės seniūnija,BVPŽ kodas 30210000-4,320,"2012-12-13 sutartis Nr. A68-43 (3.10.23-FN4) UAB ""Pradevia""","2,565.00",Techninė įranga,"UAB ""Saugūs duomenys"", UAB ""Prodevia"", UAB ""Softekas"""
Šeškinės seniūnija,2 paslaugų kategorija BVPŽ kodas 60170000-0,321,2012-12-13 sutartis Nr. A64-193 Rolando Vilko IĮ,"8,099.99",Transporto paslaugos,"UAB ""Vilneda"", Rolando Vilko IĮ, UAB ""Toks"""
Šeškinės seniūnija,BVPŽ kodas 37310000-4,322,"2012-12-13 sutartis Nr. A68-41 (3.10.23-FN4) UAB ""Tamsta""","2,999.00",Muzikos instrumentai,"UAB ""Oktava"", UAB ""Tamsta"", UAB ""Muzika visiems"""
Šeškinės seniūnija,BVPŽ kodas 32342410-9,323,"2012-12-13 sutartis Nr. A68-42 (3.10.23-FN4) UAB ""Pradevia""",759.00,Muzikinis centras,"UAB ""Saugūs duomenys"", UAB ""Prodevia"", UAB ""Softekas"""
Šeškinės seniūnija,BVPŽ kodas 18230000-0,324,"2012-12-13 sutartis Nr. A68-44 (3.10.23-FN4) Elena Nekrošienė, indiv.v. pažyma Nr. 144550","9,488.80",Koncertiniai drabužiai,"UAB ""Vanmoda"", Elena Nekrošienė, UAB ""Lelija"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,325,"2012-11-29 PVM sąskaita faktūra Nr. LL 0760 UAB ""Lingua Lituanica""",300.00,Praktiniai lietuvių kalbos redagavimo kursai,"Kalbos praktikos centras ""Lingua Lituanica"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,326,"2012-11-21 PVM sąskaita faktūra Nr. EX2813 UAB ""Exoro""","1,800.00",VSAFAS praktinis taikymas savivaldybės iždo bei privatizavimo fondo apskaitoje. Konkrečių situacijų nagrinėjimas,"UAB ""Exoro"""
Naujosios Vilnios seniūnija,26 paslaugų kategorija BVPŽ kodas 92300000-4,327,2012-11-26 sutartis Nr. A64-174 (3.10.21-FN4) B.Į. Naujosios Vilnios kultūros centras,"9,730.00","Šventės ""Europos gatvės mugė"" organizavimo paslaugos","BĮ ""Kirtimų kultūros centras"", BĮ ""Grigiškių kultūros centras"", BĮ ""Naujosios Vilnios kultūros centras"""
Verkių seniūnija,BVPŽ kodas 45340000-2,328,"2012-11-20 sutartis Nr. A62-155 (3.10.21-FN4) UAB ""Stebulė""","19,868.20","Verkių seniūnijos bendruomenės sporto aikštynų atitvarų, tvorų įrengimo darbai","UAB ""Grinda"", UAB ""Stebulė"", UAB ""Metalo sprendimai"", UAB ""Alvora"""
Grigiškių seniūnija,BVPŽ kodas 18530000-3,329,NEVYKDYS. NUPIRKTA PAGAL ĮKAINIUS,,Suvenyrai ir dovanos,
Grigiškių seniūnija,26 paslaugų kategorija BVPŽ kodas 92300000-4,330,"2012-12-11 sutartis Nr. A64-184 (3.10.22-FN4) UAB ""Lentvario komunalinis ūkis""","3,999.00",Kalėdinių renginių Grigiškėse organizavimas,"UAB""Naujininkų ūkis"", UAB""Elektrėnų švara"", UAB ""Lentvario komunalinis ūkis"", UAB ""Stebulė"", UAB ""Almode"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,331,2012-11-14 PVM sąskaita faktūra Nr. MCV 0111623 Finansų ministerijos mokymo centras,224.00,"""Vidaus audito procese naudojami darbo dokumentai. Vidaus audito ataskaitos""",Finansų ministerijos mokymo centras
Miesto ūkio ir transporto departamentas,BVPŽ kodas 45213300-6,332,"2013-02-18 sutartis Nr. A62-4 (3.10.21-UK) UAB ""Tiltuva""","181,500.00",Senų gležbetoninių ir mūrinių transporto laukimo paviljonų remonto darbai,"UAB ""Tiltuva"", UAB ""Tomosta"", UAB ""Laretas"", UAB ""Mano b8stas LT"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,333,"2012-11-21 PVM sąskaita faktūra Nr. MCD 007761 VšĮ ""Dainava""","1,185.00",Seminaras juridinių skyrių darbuotojams,"VšĮ ""Dainava"""
Šeškinės seniūnija,BVPŽ kodas 45442100-8,334,"2012-12-13 sutartis Nr. A62-171 (3.10.21-FN4) UAB ""Momsas""","7,931.90",Gaisro padarinių likvidavimas,"UAB ""Geras stogas"", UAB ""Riardžis"", UAB ""Momsas"""
Šeškinės seniūnija,BVPŽ kodas 45442100-8,335,"2012-12-04 sutartis Nr. A62-164 (3.10.21-FN4) UAB ""Šilėja""","19,980.36",Ozo gimnazijos treniruoklių salės remontas,"UAB ""Fasadų apšiltinimo sistemos"", UAB ""Verslo transformacija"", UAB ""Šilėja"""
