Padalinio pavadinimas ,"Kategorija, kodas, taisyklių punktas",Pirkimo Nr.,"Sutarties Nr., PVM sąskaitos Nr.", Pirkimo suma su sutarties pratęsimu Lt / galutinė suma 1 metams Lt,"Prekių, paslaugų, darbų pavadinimas",Tiekėjai
Naujininkų seniūnija,BVPŽ kodas 39136000-4,258,"2013-12-23 PVM sąskaita faktūra Nr. MER0001809 IĮ ""Merada""",  260.00 Lt ,Kabykla drabužiams,"UAB ""Baldeksita"", UAB ""Odisana"", IĮ ""Merada"""
Naujininkų seniūnija,BVPŽ kodas 39112000-0,259,"2013-12-03 PVM sąskaita faktūra Nr. VMK2374 UAB ""Vamako""","  2,975.00 Lt ",Kėdės,"UAB ""Tronhill"", UAB ""DecoPlast LT"", UAB ""Vamako"""
Naujininkų seniūnija,BVPŽ kodas 45212100-7,260,"2013-10-24 sutartis Nr. A62-82(3.10.21-FN4) UAB ""Stebulė""","  19,778.66 Lt ",Laisvalaikio objekto pakylos lauko konstrukcijų įrengimo darbai,"UAB ""Jumesa"", UAB ""Nemenčinės mediena"", UAB ""Stebulė"""
Naujininkų seniūnija,BVPŽ kodas 45342000-6,261,"2013-10-24 sutartis Nr. A62-81(3.10.21-FN4) UAB ""Metalo sprendimai""","  13,017.18 Lt ",Aptvarų su vartais statymo darbai,"UAB ""Mažoji restauracija"", UAB ""Metalo sprendimai"", UAB ""stebulė"""
Naujininkų seniūnija,BVPŽ kodas 45236290-9,262,"2013-10-24 sutartis Nr. A62-83(3.10.21-FN4) UAB ""Trajana""","  19,783.50 Lt ",Poilsio zonose tinklinio aikštelių remonto darbai,"UAB ""Trajana"", UAB ""Gerbūvio darbai"", UAB ""Stebulė"""
Naujininkų seniūnija,BVPŽ kodas 45236119-7,263,"2013-10-24 sutartis Nr. A62-84(3.10.21-FN4) UAB ""Stebulė""","  19,856.10 Lt ",Sporto aikštelių remonto darbai,"UAB ""Mažoji restauracija"", UAB ""Metalo sprendimai"", UAB ""stebulė"""
Naujininkų seniūnija,BVPŽ kodas 45332400-7,264,"2013-10-24 sutartis Nr. A62-85(3.10.21-FN4) UAB ""Stebulė""","  3,811.50 Lt ",Sanitarinės įrangos montavimo darbai,"UAB ""Daesta"", UAB ""Metalo sprendimai"", UAB ""Stebulė"""
Miesto ūkio ir transporto departamentas,BVPŽ kodas 45316100-6,265,"2013-11-18 sutartis Nr. A62-98(3.10.21-UK) UAB ""^ven2i7 studija""","  210,000.00 Lt ",Šventinis televizijos bokšto papuošimas Šv. Kalėdų ir Naujųjų metų švenčių proga,"UAB ""Švenčių studija"""
Personalo departamentas,24 paslaugų kategirija BVPŽ kodas 80522000-9,266,2013-09-26 PVM sąskaita faktūra Nr. FEDANR130100792,  630.00 Lt ,Sutarčių rengimas: praktiniai aspektai,VU TF mokymo centras
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,267,2013-09-13 PVM sąskaita faktūra Nr. ADA4469,  329.00 Lt ,Darbo laiko ir darbo užmokesčio sąlygų nustatymas ir apskaita,Administracijos darbuotojų asociacija
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,268,2013-10-02 PVM sąskaita faktūra Nr. CONFINN02930,"  1,950.00 Lt ","Konferencija ""Darbo teisė praktikams 2013""","UAB""Confinn"""
Šnipiškių seniūnija,BVPŽ kodas 30200000-1,269,2013-10-07 sutartis Nr. A68-50(3.10.23-FN4) UAB Baip                 2013-10-08 sutartis Nr. A68-51(3.10.23-FN4) UAB Biznio mašinų kompanija                 2013-10-07 sutartis Nr. A68-49(3.10.23-FN4) UAB Baip,"  6,744.54 Lt ","Kompiuterio ir miltimedijos pirkimas:                 Nešiojamas kompiuteris,                       Nešiojamas projektorius,                  Stacionarus kompiuteris",CPO
Naujininkų seniūnija,BVPŽ kodas 30213100-6,270,"2013-09-30 sutartis Nr. A68-45 (3.10.23-FN4) UAB ""BAIP""","  2,907.63 Lt ",Nešiojamas kompiuteris,CPO
Justiniškių seniūnija,BVPŽ kodas 30213300-8,271,"2013-12-11 sutartis Nr. A68-60(3.10.23-FN4) UAB ""Novakopa""","  4,910.18 Lt ","Staliniai kompiuteriai:                 3 kompiuteriai,                   1 spausdintuvas","CPO  729,63 lt                               UAB ""Gudėja consalting""; UAB ""Dts Solutions""; UAB ""Mikrovisata"""
Saugaus miesto departamentas,BVPŽ kodas 45259000-7,272,"2013-11-07 sutartisNr. A62-92(3.10.22-SM) UAB ""Fima""","  94,259.00 Lt ",Gyventojų perspėjimo ir informavimo sistemos įrenginių remontas ir priežiūra,"UAB ""Fima"""
Lazdynų seniūnija,1 paslaugų kategorija BVPŽ kodas 50700000-2,273,"2013-12-16 sutartis Nr. A64-169(3.10.22-FN4) UAB ""Grinda""","  10,000.00 Lt ",Lazdynų seniūnijos pastato eksploatavimo paslaugos,"UAB ""Tiltuva"", UAB ""Grinda"", UAB ""Naujininkų ūkis"""
Viršuliškių seniūnija,26 paslaugų kategorija BVPŽ kodas 92300000-4,274,2013-12-18 sutartis Nr. A64-174(3.10.22-FN4) VšĮ Pro partners,"  3,230.70 Lt ",Pramoginės paslaugos,"UAB ""Infoklodai"", UAB ""Linksmadienis"", VšĮ Propartners"
Viršuliškių seniūnija,26 paslaugų kategorija BVPŽ kodas 92300000-4,275,"2013-09-26 sutartis Nr. A64-117(3.10.22-FN4) VšĮ ""Pro partners""","  5,045.70 Lt ",Pramoginės paslaugos,"UAB ""Renginių klubas"", VšĮ ""pro partners"", UAB ""Gera pramoga"""
Aprūpinimo ir transporto skyrius,6 paslaugų kategorija BVPŽ kodas 66514100-7,276,"Sąskaitos už transporto priemonių valdytojų civilinės atsakomybės privalomąjį draudimą. AB ""Lietuvos draudimas""","  5,304.00 Lt ",Transporto priemonių draudimas,"AB ""Lietuvos draudimas""; UAB DK ""Pzu Lietuva"" (nepateikė pasiūlymo); ""BTA Insurance Company"" SE filialas Lietuvoje (Nepateikė pasiūlymo)"
Pilaitės seniūnija,BVPŽ kodas 45421000-4,277,"2013-10-21 sutartis Nr. A62-79(3.10.21-FN4) UAB ""Aiža""","  9,877.00 Lt ",Stalių darbai: Informacinių stendų gamyba ir įrengimas,"UAB ""Naujoji Plaitė"", UAB ""Julsata"", UAB ""Aiža"""
Pilaitės seniūnija,27 paslaugų kategorija BVPŽ kodas 79952000-2,278,"2013-12-23 PVM sąskaita faktūra Nr. PB131223 VO ""Pilaitės bendruomenė""","  9,985.00 Lt ","Pilaitės bendruomenės Kalėdų renginio (spektaklio) scenos instaliacija, įgarsinimas","VšĮ Vilkpėdės bendruomenės Socialinių paslaugų centras, UAB ""Kestleta"", Pilaitės bendruomenė"
Pilaitės seniūnija,BVPŽ kodas 45233292-2,279,"2013-11-28 PVM sąskaita faktūra Nr. AB32 UAB ""LS ir CO statyba""","  19,999.99 Lt ",Saugos įrenginių montavimas,"UAB ""LS ir CO statyba"", UAB ""ADMI"", UAB ""Medlain"""
Miesto plėtros departamentas,11 paslaugų kategorija BVPŽ kodas 79421200-3,280,"2013-12-20 sutartis Nr. A64-177(3.10.22-MP) MB ""Pupa- strateginė urbanistika""","  10,000.00 Lt ","Projektų rengimo, išskyrus statybos darbus, paslaugos: išorinių ekspertų paslauga","Tadas Jonauskis, Algimantas Neniškis, Mindaugas Reklaitis"
Miesto plėtros departamentas,11 paslaugų kategorija BVPŽ kodas 79421100-2,281,"2013-12-20 sutartis Nr. A64-178(3.10.22-MP) MB ""Pupa-strateginė urbanistika""","  9,800.00 Lt ","Projektų rengimo, išskyrus statybos darbus, paslaugos: paramos grupės veiklos administravimo paslaugos","MB ""Pupa-strateginė urbanistika"", Vytautas Buinevičius, MB ""Martyno Marozo architektūra ir planavimas"""
Verkių seniūnija,BVPŽ kodas 45236290-9,282,Neįvyko,,Verkių seniūnijos žaidimo aikštelių įrangos atnaujinimo darbai,
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,283,2013-09-27 PVM sąskaita faktūra Nr. AUD0076,  920.00 Lt ,Vidaus auditorių profesinių gebėjimų tobulinimas,Valstybės ir savivaldybių vidaus auditorių asociacija
Vilkpėdės seniūnija,BVPŽ kodas 45453100-8,284,2013-10-10 sutartis Nr. A62-69(3.10.21-FN4) VšĮ Vilkpėdės bendruomenės socialinių paslaugų centras,"  4,899.20 Lt ",Atnaujinimo darbai: scenos ir pakylos atnaujinimo darbai,"VšĮ ""Vilkpėdės bendruomenės socialinių paslaugų centras"", VšĮ ""Vilniaus ie Alytaus regionų aklųjų centras"", UAB ""Ligerus"""
Vilkpėdės seniūnija,BVPŽ kodas 45314300-4,285,"2013-10-10 sutartis Nr. A62-70(3.10.21-FN4) UAB ""Saugos garantas""","  18,754.58 Lt ",Kabelių infrastruktūros įrengimas: stebėjimo kameros,"UAB ""Saugos garantas"", UAB ""Aliarmo sistemos"", UAB ""Varža"""
Viršuliškių seniūnija,BVPŽ kodas 32321200-1,286,2013-12-12 PVM sąskaita faktūra Nr. SLR0460,"  6,089.97 Lt ",Viršuliškių bendruomenės centro aprūpinimas garso aparatūra,"UAB ""Muzikos faktorius""; UAB ""Inserija""; UAB ""Scenos techninis servisas"""
Viršuliškių seniūnija,BVPŽ kodas 30200000-1,287,PVM Sąskaita-faktūra Nr. 30OGM0125068,"  5,596.00 Lt ",Viršuliškių bendruomenės centro aprūpinimas kompiuterine įranga ir reikmėmis,"UAB ""Ogmina""; Elektromarkt Akropolis PC Akropolis; UAB ""Omnitel"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,288,2013-10-18 PVM sąskaita faktūra Nr. DRV2704,  361.79 Lt ,Praktiniai elektroniniai viešųjų pirkimų (CVP IS) mokymai,"UAB ""Dorevi"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,289,2013-10-03 PVM sąskaita faktūra Nr. EPC1020,  847.00 Lt ,ESCO modelis - renovacijos finansavimas sutaupytos energijos sąskaita,"UAB ""Ekspozona"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,290,Neįvyko,,Statybą reglamentuojančių teisės aktų pakeitimų apžvalga,
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,291,2013-09-26 PVM sąskaita faktūra Nr. MRM000404,"  1,210.00 Lt ",Atliekų tvarkymas,"UAB ""Marmelad"""
Personalo departamentas,BVPŽ kodas 45343000-3,292,"2013-10-17 sutartis Nr. A62-78(3.10.21-FN4) UAB ""Socialinė integracija""","  1,383.03 Lt ",Priešgaisrinių įrenginių montavimo darbai,"UAB ""Iksados APC"", UAB ""Socialinė integracija"", UAB ""Viarta"""
Personalo departamentas,BVPŽ kodas 45311200-2,293,"2013-11-08 sutartis Nr. A62-93(3.10.21-EK) UAB ""Socialinė integracija""","  2,702.54 Lt ",Elektros įrengimo darbai,"UAB ""ABB"", UAB ""CorpusA"", UAB ""Socialinė integracija"""
Saugaus miesto departamentas,6 paslaugų kategorija BVPŽ kodas 66510000-8,294,2014-01-21 Draudimo nuo nelaimingų atsitikimų liudijimas Nr. NI 0604641 (3300 Lt). Perkelti į 2014 m. ataskaitą,"  3,300.00 Lt ",Draudimo paslaugos,"1. AAS ""Gjensidige Baltic"" Lietuvos filialas; 2. AB ""Lietuvos draudimas""; 3. UAB DK ""PZU Lietuva"""
Aprūpinimo ir transporto skyrius,BVPŽ kodas 45421141-4,295,neįvyko,,Modulinių pertvarų montavimas,
Verkių seniūnija,14 paslaugų kategorija BVPŽ kodas 70332000-7,296,"2013-11-04 sutartis Nr. A64-134(3.10.22-FN4) UAB ""Verkių būstas""","  9,999.44 Lt ","Verkių seniūnijos bendruomenės centro, Baltupio g. 37, patalpų administravimo, priežiūros ir eksploatavimo paslaugos","UAB ""Verkių būstas"""
Verkių seniūnija,BVPŽ kodas 15842000-2,297,"2013-12-09 PVM sąskaita faktūra Nr. SVI022628 UAB ""Sakalas""","  7,018.00 Lt ",Šokoladas ir konditerijos gaminiai iš cukraus,"UAB ""Sakalas"", UAB ""Sanitex"", UAB ""Maxima LT"""
Naujininkų seniūnija,BVPŽ kodas 32324000-0,298,"2013-11-25 PVM sąskaita faktūra Nr. EMJ0002047 UAB ""Kilobaitas""","  4,898.00 Lt ",Televizorius ,"UAB ""Kilobaitas"", UAB ""IT Gama"", UAB ""Varlė"""
Naujininkų seniūnija, BVPŽ kodas 38651000-3,299,"2013-11-25 PVM sąskaita faktūra Nr. EMJ0002045 UAB ""Kilobaitas""","  1,995.00 Lt ",3 fotoaparatai,"UAB ""Kilobaitas"", UAB ""IT Gama"", UAB ""Varlė"""
Saugaus miesto departamentas,BVPŽ kodas 03413000-8,300,2013-11-12 prekių (paslaugų) pirkimo-pardavimo kvitas Nr. 08 N. Pinelis,"  1,200.00 Lt ",Kurui skirta mediena,"UAB ""Malkine"", Nerijus Pinelis, IĮ ""Artūros malkos"""
Saugaus miesto departamentas,14 paslaugų kategorija BVPŽ kodas 90910000-9,301,"2013-12-13 sutartis Nr. A64-167(3.10.22-SM) UAB ""Amvista""","  9,680.00 Lt ",Valymo paslaugos,"UAB ""Ideali švara"", UAB ""Amvista"", UAB ""Ainava"", UAB ""Patalpų valymo ir priežiūros centras"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,302,"2013-11-22 sutartis Nr. A64-145(3.10.22-FN4) UAB ""Kalba LT""","  2,475.00 Lt ",Anglų kalba individualiai,"UAB ""Kalba.lt"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,303,2013-10-18 PVM sąskaita faktūra Nr. MOD13 00248,  480.00 Lt ,Inventorizacijos atlikimas ir turto vertinimas pagal VSAFAS,"UAB ""Mentoringas"""
Žirmūnų seniūnija,27 paslaugų kategorija BVPŽ kodas 79952000-2,304,"2013-12-10 sutartis Nr. A64-163(3.10.22-FN4) UAB ""Stebulė""","  4,999.72 Lt ",Kalėdinių ir naujametinių renginių techninis aprūpinimas ir įgarsinimas,"UAB ""Jumesa"", UAB ""Stebulė"", UAB ""Trajana"", UAB ""Gerbūvio darbai"
Turizmo skyrius,7 paslaugų kategorija BVPŽ kodas 72000000-5,305, Neįvyko,,Naujų turizmo maršrutų nepriklausomos programos išmaniems telefonams sukūrimo paslaugos,Atmesti pasiūlymai
Žirmūnų seniūnija,BVPŽ kodas 44510000-8,306,"2013-12-13 sutartis Nr. A68-61(3.10.23-FN4) UAB ""Forestila""","  9,999.44 Lt ",Techninė įranga talkų organizavimui,"UAB ""Arvikta"", UAB ""Forestila"", UAB ""LLP"""
Žirmūnų seniūnija,BVPŽ kodas 33196200-2,307,"2013-12-16 sutartis Nr. A68-62(3.10.23-FN4) UAB ""Teida""","  9,959.00 Lt ",Įrenginiai neįgaliesiems,"IĖ ""Pirmas žingsnis"", UAB ""Ortopedijos centras"", UAB ""Teida"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,308,2013-10-24 PVM sąskaita faktūra Nr. ADA4657,  645.00 Lt ,Viešųjų pirkimų organizavimo praktiniai aspektai pradedantiesiems,Administracijos darbuotojų asociacija
Senamiesčio seniūnija,BVPŽ kodas 45236290-9,309,"2013-11-12 sutartis Nr. A62-96(3.10.21-FN4) UAB ""KSIL pasaulis""","  5,900.00 Lt ",Vaikų žaidimo aikštelių Rūdininkų skvere remontas ir atnaujinimas,"UAB ""KSIL pasaulis"", UAB ""Plasterna"", UAB ""Urbico"""
Senamiesčio seniūnija,BVPŽ kodas 35125300-2,310,"2013-11-29 sutartis Nr. A68-59(3.10.23-FN4) UAB ""Lucrosa Electronics""","  7,311.79 Lt ",Senamiesčio seniūnijos Gervėčių skvero vaizdo kamerų įrengimas,"UAB ""Lycosa Electronics"", UAB ""IDM Group"", UAB ""Eproma"""
Senamiesčio seniūnija,BVPŽ kodas 45212140-9,311,"2013-11-12 sutartis Nr. A62-94(3.10.21-FN4) UAB ""Patikimas turtas""","  14,308.32 Lt ",Vokiečių g. 5 namo kiemo treniruoklių sistemos ir funkcionalios dangos įrengimas,"UAB ""Patikimas turtas"", UAB ""Miesto baldai"", UAB ""Remodus"""
Senamiesčio seniūnija,BVPŽ kodas 45233200-1,312,"2013-11-12 sutartis Nr. A62-97(3.10.21-FN4) UAB ""KSIL pasaulis""","  10,680.50 Lt ",Vaikų žaidimo aikštelių Rūdininkų ir Sirvydo skveruose bei Vokiečių g. 5 namo kieme dangos įrengimas,"UAB ""KSIL pasaulis"", UAB ""Urbico"", UAB ""Plasterna"", UAB ""Grinda"""
Senamiesčio seniūnija,BVPŽ kodas 45212221-1,313,"2013-11-12 sutartis Nr. A62-95(3.10.21-FN4) UAB ""KSIL pasaulis""","  18,950.00 Lt ","Vaikų žaidimo aikštelių Sirvydo skvere ir Vokiečių g. 5 namo kieme praplėtimas, atnaujinimas ir išvystymas","UAB ""KSIL pasaulis"", UAB ""Plasterna"", UAB ""Urbico"""
Senamiesčio seniūnija,12 paslaugų kategorija BVPŽ kodas 71351914-3,314,"2013-11-12 sutartis Nr. A64-140(3.10.22-FN4) UAB ""Kultūros vertybių paieška""","  1,000.00 Lt ",Archeologo paslaugos įrengiant vaikų žaidimo aikšteles Rūdininkų ir Sirvydo skveruose bei Vokiečių g. 5 namo kieme,"UAB ""Kultūros vertybių paieška"", UAB ""Laumės vaikas"", UAB ""Teisinga orbita"""
Aprūpinimo ir transporto skyrius,20 paslaugų kategorija BVPŽ kodas 63000000-9,315,"2013-12-18 sutartis Nr. A64-172(3.10.22-FN4) UAB ""Prime Leasing""","  7,420.00 Lt ",Pagalbinės transporto paslaugos (automobilių nuoma),"UAB ""Prime Leasing"""
Aprūpinimo ir transporto skyrius,20 paslaugų kategorija BVPŽ kodas 63000000-9,316,"2013-12-16 sutartis Nr. A64-170(3.10.22-FN4) VšĮ ""Vilnius veža""","  7,670.00 Lt ",Pagalbinės transporto paslaugos (taksi nuoma),"VšĮ ""Vilnius veža"", UAB ""Passenger Ground Service"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,317,2013-10-22 PVM sąskaita faktūra Nr. MCD008727,"  4,740.00 Lt ",Seminaras socialinės paramos skyrių specialistams,"VšĮ ""Valstybės ir savivaldybių tarnautojų mokymo centras Dainava"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,318,Neįvyko,,"Asmenų prašymų, skundų bei pranešimų nagrinėjimas ir asmenų aptarnavimas vieno langelio principu",
E. miesto departamentas,7 paslaugų kategorija BVPŽ kodas 72000000-5,319,"2013-11-19 sutartis Nr. A64-143(3.10.22-EM) UAB ""Idamas""","  9,680.00 Lt ",Paieškos sistemos optimizavimo paslauga www. Vilnius.lt internetinėje svetainėje,"UAB ""Asseco Lietuva"", UAB ""Leksinova"", UAB ""Idamas"""
Saugaus miesto departamentas,BVPŽ kodas 45314000-1,320,"2013-11-04 sutartis Nr. A62-88(3.10.21-SM) UAB ""Fima""","  19,819.69 Lt ",telekomunikacijų įrangos įrengimas,"UAB ""Fima"", UAB ""Elteros projektai"", j. Sruogiaus gamybinė-komercinė įmonė ""Sireta"""
Pašilaičių seniūnija,BVPŽ kodas 39515400-9,321,"2013-11-07 PVM sąskaita faktūra Nr. SA002778 UAB ""Ramvika""",  346.66 Lt ,Žaliuzės vertikalios,"UAB ""Dextera"", UAB ""Ardena"", V. Stropaus firma ""Lauresta"", UAB ""Remvika"""
Pašilaičių seniūnija,BVPŽ kodas 44621100-1,322,"2013-10-31 PVM sąskaita faktūra Nr. SS1995156205 UAB ""Senukų prekybos centras""",  425.42 Lt ,Radiatoriai,"UAB ""Ermitažas"", UAB ""TC Prekyba"", UAB ""Senukų prekybos centras"""
Šnipiškių seniūnija,26 paslaugų kategorija BVPŽ kodas 92000000-1,323,"2013-12-05 sutartis Nr. A64-150(3.10.22-FN4) Asociacija ""Šnipiškiečių namai""","  4,960.00 Lt ",Kalėdų šventė Šnipiškėse,"Asociacija ""Šnipiškiečių namai"", Asociacija ""Šnipiškiečių bendruomenės centras"", VšĮ ""Vilties žingsniai"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,324,2013-10-29 PVM sąskaita faktūra Nr. ERA744,"  1,089.00 Lt ","Teritorijų planavimo, žemės ir statybos teisiniųs santykius reglamentuojančių teisės aktų pakeitimai. Naujausia informacija","UAB ""Žinių era"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,325,2013-11-20 PVM sąskaita faktūra Nr. FEDBNR130201811,  60.00 Lt ,Socialinis darbas ir galia,VU FF
Aprūpinimo ir transporto skyrius,BVPŽ kodas 45315100-9,325/1,"2013-12-10 sutartis Nr. A62-103(3.10.21-FN4) UAB ""Švenčių studija""","  19,178.50 Lt ",VMSA pastato (Konstitucijos pr. 3) Šv. Kalėdų šventinių papuošimų darbai,"UAB ""Aušros vartų meno galerija"", UAB ""Švenčių studija"", UAB ""Ekspobalta"""
Verkių seniūnija,20 paslaugų kategorija BVPŽ kodas 63710000-9,326,"2013-12-05 sutartis Nr. A64-149(3.10.22-FN4) UAB ""Stebulė""","  3,993.00 Lt ","Verkių seniūnijos kalėdinės eglės transportavimo, pastatymo ir puošimo paslaugos","UAB ""Alvora"", UAB ""Stebulė"", UAB ""Grinda"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,327,"2013-12-04 sutartis Nr. A64-152(3.10.22-FN4) UAB ""Kalba LT"" (2475 Lt)","  2,475.00 Lt ",Italų kalba individualiai,
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,328,2013-11-07 PVM sąskaita faktūra Nr. EPC1083,"  1,321.32 Lt ",Statybų projektų ir sutarčių valdymas pagal FIDIC sutarties sąlygas,"UAB ""Ekspozona"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,329,2013-11-15 PVM sąskaita faktūra Nr. MCD008795 ,  790.00 Lt ,Seminaras savivaldybių vaiko teisių apsaugos skyrių specialistams,"VšĮ ""Valstybės ir savivaldybių tarnautojų mokymo centras Dainava"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,330,"2013-12-04 sutartis Nr. A64-153(3.10.22-FN4) UAB ""Kalba LT"" (2475 Lt)","  2,475.00 Lt ",Vokiečių kalba individualiai,
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,331,2013-12-19 PVM sąskaita faktūra Nr. 6359-13ATSp,  410.00 Lt ,Teisinių žinių egzaminas,"VĮ ""Statybos produkcijos sertifikavimo centras"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,332,2013-11-14 PVM sąskaita faktūra Nr. KVC0008090,  900.00 Lt ,"Kvalifikacijos kėlimo kursas atestatui gauti, suteikiant teisę eiti teritorijų detaliojo planavimo specialisto ir teritorijų specialiojo planavimo specialisto pareigas","VšĮ ""VGTU kokybės vadybos centras"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,333,2013-11-28 PVM sąskaita faktūra Nr. VK13-106,  600.00 Lt ,Profesinių žinių egzaminas,"Lietuvos statybos inžinierių sąjunga ""LSIS"""
Turto valdymo skyrius,12 paslaugų kategorija BVPŽ kodas 71400000-2,334,"2013-12-17 sutartis Nr. A64-171(3.10.22-EK) UAB ""Matavimų centras""","  6,897.00 Lt ",Miestų planavimo ir kraštovaizdžio architektūros paslaugos,"UAB ""Matavimų centras"", UAB ""Insignis"", UAB ""Orkanas"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,335,2013-11-28 PVM sąskaita faktūra Nr. LL1029,  300.00 Lt ,Praktiniai lietuvių kalbos kursai,"UAB ""Lingua Lituanica"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,336,2013-11-20 PVM sąskaita faktūra Nr. EMC130874,  500.00 Lt ,Aktualūs VSAFAS ir kitų TA taikymo nematerialiojo ir materialiojo turto ataskaitoje klausimai,"UAB ""Ekonomikos mokymo centras"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,337,2013-12-10 PVM sąskaita faktūra Nr. ALK13379,"  2,343.77 Lt ",Kvalifikacijos kėlimo kursai atestato pratęsimui suteikiant teisę eiti ypatingo statinio statybos techninės priežiūros vadovo pareigas,"Asociacija ""Lietuvos keliai"""
Grigiškių seniūnija,26 paslaugų kategorija BVPŽ kodas 92300000-4,338,"2013-12-13 sutartis Nr. A64-168(3.10.22-FN4) UAB ""Dorvedus""","  1,000.00 Lt ",Kalėdų eglės įžiebimo šventės Grigiškėse organizavimas,"UAB ""Dorvedus"", UAB ""Linksmadienis"", E. Razmuvienės IĮ"
Grigiškių seniūnija,26 paslaugų kategorija BVPŽ kodas 92300000-4,339,"2013-12-13 sutartis Nr. A64-165(3.10.22-FN4) UAB ""Lentvario komunalinis ūkis""","  6,100.00 Lt ",Kalėdinių renginių Grigiškėse organizavimas,"UAB ""Elektrėnų švara"", UAB ""Lentvario komunalinis ūkis"", UAB ""Sanginas"""
Saugaus miesto departamentas,14 paslaugų kategorija BVPŽ kodas 70332000-7,340,"2013-12-13 sutartis Nr. A64-166(3.10.22-SM) UAB ""Naujininkų ūkis""","  6,050.00 Lt ",Patalpų Dariaus ir Girėno g. 11 administravimas,"UAB ""Naujininkų ūkis"""
Turizmo skyrius,BVPŽ kodas 45233293-9,341,Neįvyko,,Informacinių ženklų (kryptinių nuorodų) į Vilniaus miesto lankytinus objektus įrengimas,
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,342,2013-12-06 PVM sąskaita faktūra Nr. VIPM-1035,  513.00 Lt ,Viešųjų pirkimų organizavimo praktiniai aspektai. Naujovės 2014 m.,"VšĮ ""Viešųjų pirkimų agentūra"""
Aprūpinimo ir transporto skyrius,1 paslaugų kategorija BVPŽ kodas 50411000-9,343,"2013-12-09 PVM sąskaita faktūra Nr. VMC114686 AB ""Vilniaus metrologijos centras""",  156.01 Lt ,Alkotesterio Alcovisor BAC su integruota spausdinimo įranga metrologinė patikra,"AB ""Vilniaus metrologijos centras"", UAB ""Capsa"", UAB ""Alkotesteris"""
Aprūpinimo ir transporto skyrius,BVPŽ kodas 45311000-0,344,2014-03-04 sutartis Nr. A62-6/14(3.10.21-FN4),"  17,372.53 Lt ",Serverinės elektros energijos tiekimo linijos įrengimo darbai,"UAB ""Novolux""; UAB Geteks""; UAB ""EMD Light"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,345,2013-12-06 PVM sąskaita faktūra Nr. DRV2760,  968.00 Lt ,Tarnybinis protokolas,"UAB ""Dorevi"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,346,2013-12-02 PVM sąskaita faktūra Nr. SPSA6870-13M,  450.00 Lt ,Statybos specialistų teisinių žinių seminaras,Statybos produkcijos sertifikavimo centras
E. miesto departamentas,BVPŽ kodas 22200000-2,347,"2013-12-20 sutartis Nr. A68-63(3.10.23-EM),     AB ""Lietuvos paštas""","  37,646.95 Lt ",Vilniaus miesto savivaldybės administracijos laikraščių ir žurnalų prenumerata 2014 metais,AB Lietuvos paštas
Ekonomikos ir investicijų departamentas,13 paslaugų kategorija BVPŽ kodas 79341000-6,348,"2013-12-09 sutartis Nr. A64-160(3.10.22-EK) UAB ""Juoda raidė""","  6,446.88 Lt ",Reklaminių plakatų pagaminimas privatizuojamų objektų sąrašams paskelbti,"UAB ""Faktumas"", UAB ""Juoda raidė"", UAB ""Vizart"""
